"","Nuccore_ID","target name","taccession","query name","qaccession","E-value","score","bias","dom E-value","dom score","dom bias","exp","reg","clu","ov","env","dom","rep","inc","Definition","Source","WW_IDs","Spore.Forming.(Weller.and.Wu)","Spore.Genes.(Weller.and.Wu)","Genus","Species","Assembly","Phylum","Class","Order","Family"
"2454","NC_020995.1","lcl|NC_020995.1_prot_WP_005226914.1_248","-","TIGR01050","TIGR01050",3.2e-47,156.3,0.2,3.5e-47,156.2,0.2,1,1,0,0,1,1,1,1,"Enterococcus casseliflavus EC20, complete genome","Enterococcus casseliflavus EC20","Enterococcus casseliflavus ","N","13","Enterococcus","casseliflavus","GCF_000157355.2","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2472","NC_021019.1","lcl|NC_021019.1_prot_WP_015535564.1_638","-","TIGR01050","TIGR01050",1.6e-46,153.3,0.4,1.7e-46,153.2,0.4,1,1,0,0,1,1,1,1,"Eubacterium cylindroides T2-87 draft genome","Eubacterium cylindroides T2-87","Eubacterium cylindroides ","N","9","Eubacterium","cylindroides","GCF_000210615.1","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"2486","NC_021039.1","lcl|NC_021039.1_prot_WP_015558480.1_1406","-","TIGR01050","TIGR01050",1.8e-44,147,0.3,2e-44,146.9,0.3,1,1,0,0,1,1,1,1,"Ruminococcus champanellensis type strain 18P13T draft genome","Ruminococcus champanellensis","Ruminococcus champanellensis ","Y","49","Ruminococcus","champanellensis","GCF_000210095.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"2498","NC_021171.1","lcl|NC_021171.1_prot_WP_015591962.1_111","-","TIGR01050","TIGR01050",9.3e-48,158.5,0.3,1e-47,158.4,0.3,1,1,0,0,1,1,1,1,"Bacillus sp. 1NLA3E, complete genome","Bacillus sp. 1NLA3E","Bacillus sp. 1NLA3E","Y","115","Bacillus","sp. 1NLA3E","GCF_000242895.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2512","NC_021175.1","lcl|NC_021175.1_prot_WP_000533766.1_102","-","TIGR01050","TIGR01050",9.4e-48,157.4,0.3,1.1e-47,157.3,0.3,1,1,0,0,1,1,1,1,"Streptococcus cristatus AS 1.3089, complete genome","Streptococcus cristatus AS 1.3089","Streptococcus oligofermentans ","N","14","Streptococcus","cristatus","GCF_000385925.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2530","NC_021182.1","lcl|NC_021182.1_prot_WP_015617488.1_4235","-","TIGR01050","TIGR01050",3e-44,147.3,1,3.4e-44,147.1,1,1,1,0,0,1,1,1,1,"Clostridium pasteurianum BC1, complete genome","Clostridium pasteurianum BC1","Clostridium pasteurianum ","Y","63","Clostridium","pasteurianum","GCF_000389635.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2544","NC_021184.1","lcl|NC_021184.1_prot_WP_006522867.1_341","-","TIGR01050","TIGR01050",2.6e-44,147.4,0.1,2.9e-44,147.3,0.1,1,1,0,0,1,1,1,1,"Desulfotomaculum gibsoniae DSM 7213, complete genome","Desulfotomaculum gibsoniae DSM 7213","Desulfotomaculum gibsoniae ","Y","70","Desulfotomaculum","gibsoniae","GCF_000233715.2","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"2558","NC_021362.1","lcl|NC_021362.1_prot_WP_003178334.1_124","-","TIGR01050","TIGR01050",1.9e-48,160.6,0.3,2.1e-48,160.5,0.3,1,1,0,0,1,1,1,1,"Bacillus paralicheniformis ATCC 9945a, complete genome","Bacillus paralicheniformis ATCC 9945a","Bacillus licheniformis ","Y","113","Bacillus","paralicheniformis","GCF_000408885.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2573","NC_021744.1","lcl|NC_021744.1_prot_WP_003625786.1_2070","-","TIGR01050","TIGR01050",2.5e-44,146.5,0.2,2.7e-44,146.4,0.2,1,1,0,0,1,1,1,1,"Lactobacillus helveticus CNRZ32, complete genome","Lactobacillus helveticus CNRZ32","Lactobacillus helveticus ","N","14","Lactobacillus","helveticus","GCF_000422165.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2587","NC_021994.1","lcl|NC_021994.1_prot_WP_002288655.1_63","-","TIGR01050","TIGR01050",2.2e-46,153.6,0.4,2.4e-46,153.5,0.4,1,1,0,0,1,1,1,1,"Enterococcus faecium Aus0085, complete genome","Enterococcus faecium Aus0085","Enterococcus faecium ","N","18","Enterococcus","faecium","GCF_000444405.1","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae"
"2601","NC_022080.4","lcl|NC_022080.4_prot_WP_003247570.1_112","-","TIGR01050","TIGR01050",6.7e-49,161.7,0.3,7.4e-49,161.6,0.3,1,1,0,0,1,1,1,1,"Geobacillus genomosp. 3 strain JF8, complete genome","Geobacillus genomosp. 3","Geobacillus sp. JF8","Y","107","Geobacillus","genomosp.","GCF_000445995.2","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2615","NC_022237.1","lcl|NC_022237.1_prot_WP_000533765.1_1716","-","TIGR01050","TIGR01050",8.1e-48,157.4,0.3,8.9e-48,157.3,0.3,1,1,0,0,1,1,1,1,"Streptococcus intermedius C270, complete genome","Streptococcus intermedius C270","Streptococcus intermedius ","N","15","Streptococcus","intermedius","GCF_000463385.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2629","NC_022524.1","lcl|NC_022524.1_prot_WP_009791324.1_122","-","TIGR01050","TIGR01050",9.6e-47,155.3,0.3,1.1e-46,155.2,0.3,1,1,0,0,1,1,1,1,"Bacillus infantis NRRL B-14911, complete genome","Bacillus infantis NRRL B-14911","Bacillus infantis ","Y","119","Bacillus","infantis","GCF_000473245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"2645","NC_022571.1","lcl|NC_022571.1_prot_WP_022743553.1_174","-","TIGR01050","TIGR01050",2.2e-42,141.2,0.9,2.4e-42,141.1,0.9,1,1,0,0,1,1,1,1,"Clostridium saccharobutylicum DSM 13864, complete genome","Clostridium saccharobutylicum DSM 13864","Clostridium saccharobutylicum ","Y","65","Clostridium","saccharobutylicum","GCF_000473995.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2659","NC_022584.1","lcl|NC_022584.1_prot_WP_000533766.1_1540","-","TIGR01050","TIGR01050",8.3e-48,157.4,0.3,9.3e-48,157.3,0.3,1,1,0,0,1,1,1,1,"Streptococcus sp. I-G2, complete genome","Streptococcus sp. I-G2","Streptococcus sp. I-G2","N","14","Streptococcus","sp. I-G2","GCF_000479335.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"2673","NC_022592.1","lcl|NC_022592.1_prot_WP_013240688.1_1909","-","TIGR01050","TIGR01050",3.5e-44,146.8,0.6,4e-44,146.7,0.6,1,1,0,0,1,1,1,1,"Clostridium autoethanogenum DSM 10061, complete genome","Clostridium autoethanogenum DSM 10061","Clostridium autoethanogenum ","Y","71","Clostridium","autoethanogenum","GCF_000484505.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2687","NC_022606.1","lcl|NC_022606.1_prot_WP_023179561.1_2070","-","TIGR01050","TIGR01050",5e-47,155.2,0.5,5.5e-47,155.1,0.5,1,1,0,0,1,1,1,1,"Carnobacterium inhibens subsp. gilichinskyi strain WN1359, complete genome","Carnobacterium inhibens subsp. gilichinskyi strain WN1359","Carnobacterium sp. WN1359","N","16","Carnobacterium","inhibens","GCF_000493735.1","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae"
"2701","NC_022777.1","lcl|NC_022777.1_prot_WP_023439599.1_2629","-","TIGR01050","TIGR01050",3.2e-44,146.5,1.6,3.6e-44,146.3,1.6,1,1,0,0,1,1,1,1,"Clostridium tetani 12124569 main chromosome, complete genome","Clostridium tetani 12124569","Clostridium tetani ","Y","62","Clostridium","tetani","GCF_000967115.2","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"2715","NC_022780.1","lcl|NC_022780.1_prot_WP_002833332.1_1313","-","TIGR01050","TIGR01050",6e-45,148.1,0,6.9e-45,147.9,0,1,1,0,0,1,1,1,1,"Pediococcus pentosaceus SL4, complete genome","Pediococcus pentosaceus SL4","Pediococcus pentosaceus ","N","11","Pediococcus","pentosaceus","GCF_000496265.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"2729","NC_022794.1","lcl|NC_022794.1_prot_WP_012369013.1_84","-","TIGR01050","TIGR01050",7.8e-47,155,0.2,8.6e-47,154.9,0.2,1,1,0,0,1,1,1,1,"Exiguobacterium sp. MH3, complete genome","Exiguobacterium sp. MH3","Exiguobacterium sp. MH3","N","29","Exiguobacterium","sp. MH3","GCF_000496635.1","Firmicutes","Bacilli","Bacillales","Bacillales Family XII. Incertae Sedis"
"2743","NZ_AXDU01000016.1","lcl|NZ_AXDU01000016.1_prot_WP_003720946.1_1734","-","TIGR01050","TIGR01050",1.3e-47,157.5,0.2,1.4e-47,157.4,0.2,1,1,0,0,1,1,1,1,"Listeria monocytogenes N53-1 N53-1_contig_23, whole genome shotgun sequence","Listeria monocytogenes N53-1","Listeria monocytogenes ","N","20","Listeria","monocytogenes","GCF_000626575.1","Firmicutes","Bacilli","Bacillales","Listeriaceae"
"2757","NZ_CP019962.1","lcl|NZ_CP019962.1_prot_WP_013382282.1_1246","-","TIGR01050","TIGR01050",5.2e-45,149.5,0.8,5.7e-45,149.4,0.8,1,1,0,0,1,1,1,1,"Eubacterium limosum strain ATCC 8486 chromosome, complete genome","Eubacterium limosum","Eubacterium limosum ","N","19","Eubacterium","limosum","GCF_000807675.2","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae"
"2771","NZ_CP027570.1","lcl|NZ_CP027570.1_prot_WP_014015739.1_1038","-","TIGR01050","TIGR01050",3e-48,159.1,0.8,3.3e-48,159,0.8,1,1,0,0,1,1,1,1,"Megasphaera elsdenii DSM 20460 strain ATCC 25940 chromosome, complete genome","Megasphaera elsdenii DSM 20460 strain ATCC 25940","Megasphaera elsdenii ","N","18","Megasphaera","elsdenii","GCF_003010495.1","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae"
"2785","NZ_KI912609.1","lcl|NZ_KI912609.1_prot_WP_015051616.1_2634","-","TIGR01050","TIGR01050",3.2e-45,149.7,0.2,3.5e-45,149.6,0.2,1,1,0,0,1,1,1,1,"Thermacetogenium phaeum DSM 12270 THEPHDRAFT_scaffold00002.2, whole genome shotgun sequence","Thermacetogenium phaeum DSM 12270","Thermacetogenium phaeum ","Y","56","Thermacetogenium","phaeum","GCF_000519285.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"2799","NZ_MKIE01000003.1","lcl|NZ_MKIE01000003.1_prot_WP_071062281.1_956","-","TIGR01050","TIGR01050",6.3e-48,158.1,0.3,7e-48,158,0.3,1,1,0,0,1,1,1,1,"Andreesenia angusta strain DSM 1989 EUAN_contig000003, whole genome shotgun sequence","Andreesenia angusta strain DSM 1989","butyrate-producing bacterium SSC/2","Y","41","Andreesenia","angusta","GCF_001855385.1","Firmicutes","Tissierellia","Tissierellales","Gottschalkiaceae"
"2813","NZ_OLKO01000017.1","lcl|NZ_OLKO01000017.1_prot_WP_015523192.1_808","-","TIGR01050","TIGR01050",5.9e-44,145.3,0.3,6.4e-44,145.1,0.3,1,1,0,0,1,1,1,1,"Ruminococcus bromii L2-63, whole genome shotgun sequence","Ruminococcus bromii L2-63","Ruminococcus bromii ","Y","30","Ruminococcus","bromii","GCF_900291485.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"7","AP009389.1","lcl|AP009389.1_prot_BAF58511.1_330","-","TIGR01067","TIGR01067",3.8e-59,195.3,2.4,4.2e-59,195.1,2.4,1,1,0,0,1,1,1,1,"Pelotomaculum thermopropionicum SI DNA, complete genome","Pelotomaculum thermopropionicum SI","Pelotomaculum thermopropionicum ","Y","69","Pelotomaculum","thermopropionicum","GCA_000010565.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"21","CP000407.1","lcl|CP000407.1_prot_ABP89053.1_79","-","TIGR01067","TIGR01067",1e-56,187,1.2,1.1e-56,186.9,1.2,1,1,0,0,1,1,1,1,"Streptococcus suis 05ZYH33, complete genome","Streptococcus suis 05ZYH33","Streptococcus suis ","N","15","Streptococcus","suis","GCA_000014305.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"37","CP000817.1","lcl|CP000817.1_prot_ACA42048.1_4402","-","TIGR01067","TIGR01067",1.9e-57,190.5,3.6,2e-57,190.4,3.6,1,1,0,0,1,1,1,1,"Lysinibacillus sphaericus C3-41, complete genome","Lysinibacillus sphaericus C3-41","Lysinibacillus sphaericus ","Y","69","Lysinibacillus","sphaericus","GCA_000017965.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"51","CP002770.1","lcl|CP002770.1_prot_AEG16543.1_2893","-","TIGR01067","TIGR01067",6.8e-59,194.7,1,7.6e-59,194.5,1,1,1,0,0,1,1,1,1,"Desulfotomaculum kuznetsovii DSM 6115, complete genome","Desulfofundulus kuznetsovii DSM 6115","Desulfotomaculum kuznetsovii ","Y","70","Desulfofundulus","kuznetsovii","GCA_000214705.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"65","CP002901.1","lcl|CP002901.1_prot_AEJ38535.1_307","-","TIGR01067","TIGR01067",3.8e-56,186,0.2,4.2e-56,185.8,0.2,1,1,0,0,1,1,1,1,"Sulfobacillus acidophilus TPY, complete genome","Sulfobacillus acidophilus TPY","Sulfobacillus acidophilus ","Y","57","Sulfobacillus","acidophilus","GCA_000219855.1","Firmicutes","Clostridia","Clostridiales","Clostridiales Family XVII. Incertae Sedis"
"79","CP003184.1","lcl|CP003184.1_prot_AFK86037.1_999","-","TIGR01067","TIGR01067",2.2e-55,183.1,1.9,2.5e-55,182.9,1.9,1,1,0,0,1,1,1,1,"Thermoanaerobacterium saccharolyticum JW/SL-YS485, complete genome","Thermoanaerobacterium saccharolyticum JW/SL-YS485","Thermoanaerobacterium saccharolyticum ","Y","62","Thermoanaerobacterium","saccharolyticum","GCA_000307585.2","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales Family III. Incertae Sedis"
"93","CP003919.2","lcl|CP003919.2_prot_AFV71560.1_208","-","TIGR01067","TIGR01067",5.1e-57,187.7,0.9,5.6e-57,187.5,0.9,1,1,0,0,1,1,1,1,"Streptococcus agalactiae strain SA20, complete genome","Streptococcus agalactiae","Streptococcus agalactiae ","N","14","Streptococcus","agalactiae","GCA_000302475.3","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"111","CP005941.1","lcl|CP005941.1_prot_AGM97896.1_67","-","TIGR01067","TIGR01067",6.4e-57,187.7,0.9,7.1e-57,187.5,0.9,1,1,0,0,1,1,1,1,"Streptococcus iniae SF1, complete genome","Streptococcus iniae SF1","Streptococcus iniae ","N","13","Streptococcus","iniae","GCA_000403625.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"122","FN545816.1","lcl|FN545816.1_prot_CBE01597.1_79","-","TIGR01067","TIGR01067",1.4e-56,187.2,2.1,1.6e-56,187.1,2.1,1,1,0,0,1,1,1,1,"Clostridium difficile R20291 complete genome","Clostridioides difficile R20291","Peptoclostridium difficile ","Y","56","Clostridioides","difficile","GCA_000027105.1","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae"
"180","FP929045.1","lcl|FP929045.1_prot_CBK98969.1_1242","-","TIGR01067","TIGR01067",1.3e-56,187,0.4,1.4e-56,186.9,0.4,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii L2/6 draft genome","Faecalibacterium prausnitzii L2-6","Faecalibacterium prausnitzii L2-6","N","35","Faecalibacterium","prausnitzii","GCA_000210735.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"194","FP929046.1","lcl|FP929046.1_prot_CBL01479.1_996","-","TIGR01067","TIGR01067",8.3e-57,187.7,0.5,9e-57,187.5,0.5,1,1,0,0,1,1,1,1,"Faecalibacterium prausnitzii SL3/3 draft genome","Faecalibacterium prausnitzii SL3/3","Faecalibacterium prausnitzii SL3/3","N","35","Faecalibacterium","prausnitzii","GCA_000209855.1","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae"
"279","NC_002570.2","lcl|NC_002570.2_prot_WP_010896327.1_146","-","TIGR01067","TIGR01067",6.3e-58,191.8,2.1,6.9e-58,191.7,2.1,1,1,0,0,1,1,1,1,"Bacillus halodurans C-125 DNA, complete genome","Bacillus halodurans C-125","Bacillus halodurans ","Y","100","Bacillus","halodurans","GCF_000011145.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"289","NC_002737.2","lcl|NC_002737.2_prot_NP_268470.1_47","-","TIGR01067","TIGR01067",5.1e-57,187.7,0.9,5.6e-57,187.5,0.9,1,1,0,0,1,1,1,1,"Streptococcus pyogenes M1 GAS, complete genome","Streptococcus pyogenes M1 GAS","Streptococcus pyogenes ","N","12","Streptococcus","pyogenes","GCF_000006785.2","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"307","NC_003869.1","lcl|NC_003869.1_prot_WP_011026328.1_2159","-","TIGR01067","TIGR01067",7.2e-57,187.8,2.1,8e-57,187.7,2.1,1,1,0,0,1,1,1,1,"Thermoanaerobacter tengcongensis MB4, complete genome","Thermoanaerobacter tengcongensis MB4","Thermoanaerobacter tengcongensis ","Y","63","Thermoanaerobacter","tengcongensis","GCF_000007085.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"318","NC_004193.1","lcl|NC_004193.1_prot_WP_011064532.1_130","-","TIGR01067","TIGR01067",3.4e-57,189.3,2.6,3.7e-57,189.1,2.6,1,1,0,0,1,1,1,1,"Oceanobacillus iheyensis HTE831 DNA, complete genome","Oceanobacillus iheyensis HTE831","Oceanobacillus iheyensis ","Y","88","Oceanobacillus","iheyensis","GCF_000011245.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"334","NC_004461.1","lcl|NC_004461.1_prot_NP_765369.1_1814","-","TIGR01067","TIGR01067",4.4e-58,191.6,2.3,4.9e-58,191.5,2.3,1,1,0,0,1,1,1,1,"Staphylococcus epidermidis ATCC 12228 chromosome, complete genome","Staphylococcus epidermidis ATCC 12228","Staphylococcus epidermidis ","N","14","Staphylococcus","epidermidis","GCF_000007645.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"348","NC_006177.1","lcl|NC_006177.1_prot_WP_011197180.1_2952","-","TIGR01067","TIGR01067",5.8e-60,198.1,0.6,6.4e-60,197.9,0.6,1,1,0,0,1,1,1,1,"Symbiobacterium thermophilum IAM 14863 DNA, complete genome","Symbiobacterium thermophilum IAM 14863","Symbiobacterium thermophilum ","Y","64","Symbiobacterium","thermophilum","GCF_000009905.1","Firmicutes","Clostridia","Clostridiales","Symbiobacteriaceae"
"362","NC_006582.1","lcl|NC_006582.1_prot_WP_011245024.1_161","-","TIGR01067","TIGR01067",3e-58,192.9,2.9,3.3e-58,192.8,2.9,1,1,0,0,1,1,1,1,"Bacillus clausii KSM-K16 DNA, complete genome","Bacillus clausii KSM-K16","Bacillus clausii ","Y","92","Bacillus","clausii","GCF_000009825.1","Firmicutes","Bacilli","Bacillales","Bacillaceae"
"377","NC_007168.1","lcl|NC_007168.1_prot_WP_002466492.1_766","-","TIGR01067","TIGR01067",4.1e-58,191.8,2.7,4.6e-58,191.6,2.7,1,1,0,0,1,1,1,1,"Staphylococcus haemolyticus JCSC1435 DNA, complete genome","Staphylococcus haemolyticus JCSC1435 DNA","Staphylococcus haemolyticus ","N","15","Staphylococcus","haemolyticus","GCF_000009865.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"392","NC_007350.1","lcl|NC_007350.1_prot_WP_002482622.1_649","-","TIGR01067","TIGR01067",2.1e-57,189.4,3.1,2.4e-57,189.3,3.1,1,1,0,0,1,1,1,1,"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 DNA, complete genome","Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305","Staphylococcus saprophyticus ","N","16","Staphylococcus","saprophyticus","GCF_000010125.1","Firmicutes","Bacilli","Bacillales","Staphylococcaceae"
"406","NC_007503.1","lcl|NC_007503.1_prot_WP_011345181.1_2095","-","TIGR01067","TIGR01067",1.6e-58,193,2,1.8e-58,192.9,2,1,1,0,0,1,1,1,1,"Carboxydothermus hydrogenoformans Z-2901, complete genome","Carboxydothermus hydrogenoformans Z-2901","Carboxydothermus hydrogenoformans","Y","57","Carboxydothermus","hydrogenoformans","GCF_000012865.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"420","NC_007576.1","lcl|NC_007576.1_prot_WP_004270201.1_1684","-","TIGR01067","TIGR01067",4.9e-56,184.6,2.6,5.4e-56,184.5,2.6,1,1,0,0,1,1,1,1,"Lactobacillus sakei strain 23K complete genome","Lactobacillus sakei strain 23K","Lactobacillus sakei ","N","14","Lactobacillus","sakei","GCF_000026065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"434","NC_007644.1","lcl|NC_007644.1_prot_YP_431275.1_2387","-","TIGR01067","TIGR01067",3.5e-58,191.9,2,3.9e-58,191.8,2,1,1,0,0,1,1,1,1,"Moorella thermoacetica ATCC 39073 chromosome, complete genome","Moorella thermoacetica ATCC 39073 chromosome","Moorella thermoacetica ","Y","68","Moorella","thermoacetica","GCF_000013105.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacteraceae"
"448","NC_007929.1","lcl|NC_007929.1_prot_YP_536312.1_1406","-","TIGR01067","TIGR01067",1.6e-55,183,1.6,1.8e-55,182.9,1.6,1,1,0,0,1,1,1,1,"Lactobacillus salivarius UCC118 chromosome, complete genome","Lactobacillus salivarius UCC118","Lactobacillus salivarius ","N","17","Lactobacillus","salivarius","GCF_000008925.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"462","NC_008054.1","lcl|NC_008054.1_prot_WP_011543642.1_343","-","TIGR01067","TIGR01067",9e-55,180.5,2.7,9.9e-55,180.4,2.7,1,1,0,0,1,1,1,1,"Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 complete genome","Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842","Lactobacillus delbrueckii ","N","12","Lactobacillus","delbrueckii","GCF_000056065.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"476","NC_008261.1","lcl|NC_008261.1_prot_WP_003454425.1_2565","-","TIGR01067","TIGR01067",3.2e-56,185.8,1.6,3.5e-56,185.7,1.6,1,1,0,0,1,1,1,1,"Clostridium perfringens ATCC 13124, complete genome","Clostridium perfringens ATCC 13124","Clostridium perfringens ","Y","61","Clostridium","perfringens","GCF_000013285.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"490","NC_008346.1","lcl|NC_008346.1_prot_WP_011641698.1_2365","-","TIGR01067","TIGR01067",2.2e-57,189.4,2,2.5e-57,189.3,2,1,1,0,0,1,1,1,1,"Syntrophomonas wolfei subsp. wolfei str. Goettingen G311, complete genome","Syntrophomonas wolfei subsp. wolfei str. Goettingen G311","Syntrophomonas wolfei ","Y","61","Syntrophomonas","wolfei","GCF_000014725.1","Firmicutes","Clostridia","Clostridiales","Syntrophomonadaceae"
"504","NC_008526.1","lcl|NC_008526.1_prot_YP_807671.1_2356","-","TIGR01067","TIGR01067",1.3e-55,183.8,2.3,1.5e-55,183.6,2.3,1,1,0,0,1,1,1,1,"Lactobacillus paracasei ATCC 334 chromosome, complete genome","Lactobacillus paracasei ATCC 334","Lactobacillus casei ","N","16","Lactobacillus","paracasei","GCF_000014525.1","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae"
"518","NC_008527.1","lcl|NC_008527.1_prot_WP_003129953.1_2259","-","TIGR01067","TIGR01067",2.6e-54,179.5,0.3,2.9e-54,179.4,0.3,1,1,0,0,1,1,1,1,"Lactococcus lactis subsp. cremoris SK11, complete genome","Lactococcus lactis subsp. cremoris SK11","Lactococcus lactis ","N","14","Lactococcus","lactis","GCF_000014545.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
"539","NC_008528.1","lcl|NC_008528.1_prot_WP_002818465.1_580","-","TIGR01067","TIGR01067",3.2e-55,181.9,2.3,3.5e-55,181.8,2.3,1,1,0,0,1,1,1,1,"Oenococcus oeni PSU-1, complete genome","Oenococcus oeni PSU-1","Oenococcus oeni ","N","18","Oenococcus","oeni","GCF_000014385.1","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae"
"553","NC_008593.1","lcl|NC_008593.1_prot_WP_003367798.1_234","-","TIGR01067","TIGR01067",7e-55,181.2,2.4,7.8e-55,181,2.4,1,1,0,0,1,1,1,1,"Clostridium novyi NT, complete genome","Clostridium novyi NT","Clostridium novyi ","Y","61","Clostridium","novyi","GCF_000014125.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"560","NC_009253.1","lcl|NC_009253.1_prot_WP_011876614.1_223","-","TIGR01067","TIGR01067",3.4e-56,186,3.1,3.8e-56,185.8,3.1,1,1,0,0,1,1,1,1,"Desulfotomaculum reducens MI-1, complete genome","Desulfotomaculum reducens MI-1","Desulfotomaculum reducens ","Y","72","Desulfotomaculum","reducens","GCF_000016165.1","Firmicutes","Clostridia","Clostridiales","Peptococcaceae"
"574","NC_009437.1","lcl|NC_009437.1_prot_WP_011917781.1_2286","-","TIGR01067","TIGR01067",1.9e-59,196.2,1.5,2.1e-59,196,1.5,1,1,0,0,1,1,1,1,"Caldicellulosiruptor saccharolyticus DSM 8903, complete genome","Caldicellulosiruptor saccharolyticus DSM 8903","Caldicellulosiruptor saccharolyticus ","Y","49","Caldicellulosiruptor","saccharolyticus","GCF_000016545.1","Firmicutes","Clostridia","Thermoanaerobacterales","Thermoanaerobacterales"
"589","NC_009617.1","lcl|NC_009617.1_prot_WP_011967518.1_164","-","TIGR01067","TIGR01067",1.5e-56,187.7,2.9,1.7e-56,187.5,2.9,1,1,0,0,1,1,1,1,"Clostridium beijerinckii NCIMB 8052, complete genome","Clostridium beijerinckii NCIMB 8052","Clostridium beijerinckii","Y","67","Clostridium","beijerinckii","GCF_000016965.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"603","NC_009633.1","lcl|NC_009633.1_prot_WP_012065431.1_4400","-","TIGR01067","TIGR01067",3.2e-55,183.3,3.6,3.5e-55,183.2,3.6,1,1,0,0,1,1,1,1,"Alkaliphilus metalliredigens QYMF, complete genome","Alkaliphilus metalliredigens QYMF","Alkaliphilus metalliredigens ","Y","69","Alkaliphilus","metalliredigens","GCF_000016985.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"617","NC_009697.1","lcl|NC_009697.1_prot_WP_003357295.1_3458","-","TIGR01067","TIGR01067",4.2e-57,189,1.6,4.6e-57,188.9,1.6,1,1,0,0,1,1,1,1,"Clostridium botulinum A str. ATCC 19397, complete genome","Clostridium botulinum A str. ATCC 19397","Clostridium botulinum A","Y","63","Clostridium","botulinum","GCF_000017025.1","Firmicutes","Clostridia","Clostridiales","Clostridiaceae"
"631","NC_009785.1","lcl|NC_009785.1_prot_WP_002894494.1_1912","-","TIGR01067","TIGR01067",8.1e-57,187.3,1.4,9e-57,187.1,1.4,1,1,0,0,1,1,1,1,"Streptococcus gordonii str. Challis substr. CH1, complete genome","Streptococcus gordonii str. Challis substr. CH1","Streptococcus gordonii ","N","14","Streptococcus","gordonii","GCF_000017005.1","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae"
